Molecule Name,SMILES,pEC50,pEC50_std.error (-log10(molarity)),source
AUX-0049,O=C(Cn1ncc(=O)c2ccccc21)NCc1ccc2occc2c1,1.9118802708493583,0.537,crude
AUX-0050,O=C(Cn1ncc(=O)c2ccccc21)NCc1noc2c1CC(F)(F)CC2,1.9040237660212092,0.536,crude
AUX-0051,Cc1n[nH]c(C)c1C1CCCCCN1C(=O)Cn1ncc(=O)c2ccccc21,4.92602827166359,0.326,crude
AUX-0052,O=C(Cn1ncc(=O)c2ccccc21)N1CCCC1c1nc(Cc2ccc(F)cc2)no1,5.511723709876963,0.109,crude
AUX-0053,O=C(Cn1ncc(=O)c2ccccc21)NCCCCC(F)(F)F,2.048874982709675,0.537,crude
AUX-0054,CCC(C)N(CC(O)COc1cccc(Cl)c1)C(=O)Cn1ncc(=O)c2ccccc21,6.259127123603937,0.051,crude
AUX-0055,CN1CCN(CCCNC(=O)Cn2ncc(=O)c3ccccc32)C(c2ccccc2)C1,3.5189879072661077,0.268,crude
AUX-0056,O=C(Cn1ncc(=O)c2ccccc21)NCC(O)COc1ccc(I)cc1,2.186097956949254,0.536,crude
AUX-0057,CC(NC(=O)Cn1ncc(=O)c2ccccc21)c1cccc(NC(=O)c2ccccc2)c1,4.719742847952093,0.265,crude
AUX-0058,O=C(Cn1ncc(=O)c2ccccc21)N1CCCC(c2cccc3[nH]ccc23)C1,4.618854084059592,0.203,crude
AUX-0059,COCC(NC(=O)Cn1ncc(=O)c2ccccc21)c1cc2ccccc2s1,4.995832660316915,0.246,crude
AUX-0060,Cc1cc(C)cc(OCC(=O)N2CCN(C(=O)Cn3ncc(=O)c4ccccc43)[C@H](C)C2)c1,4.338041592063426,0.172,crude
AUX-0061,CCCN(CC(=O)Nc1cc(Cl)ccc1Cl)C(=O)Cn1ncc(=O)c2ccccc21,5.014249686726327,0.109,crude
AUX-0062,CC(C)CC(C)(CNC(=O)Cn1ncc(=O)c2ccccc21)NC(=O)c1cc(Cl)c(Cl)[nH]1,6.057417309294048,0.141,crude
AUX-0063,Cc1cc(=O)oc2cc(OCC3CCN(C(=O)Cn4ncc(=O)c5ccccc54)CC3)ccc12,5.983164293844784,0.0814,crude
AUX-0064,O=C(Cn1ncc(=O)c2ccccc21)NCC1C2(CC2)C12CC2,2.0498408830545243,0.548,crude
AUX-0065,CN(C)S(=O)(=O)c1cccc(F)c1CNC(=O)Cn1ncc(=O)c2ccccc21,3.673263971649357,0.29,crude
AUX-0066,COC(=O)c1ccc2[nH]cc(C3CCN(C(=O)Cn4ncc(=O)c5ccccc54)CC3)c2c1,5.028340642082819,0.157,crude
AUX-0067,COC(=O)CC1CCC2CN(C(=O)Cn3ncc(=O)c4ccccc43)CCC2C1,2.090566906931403,0.531,crude
AUX-0068,O=C(Cn1ncc(=O)c2ccccc21)NCc1cnnn1-c1ccccc1,3.946616733835699,0.235,crude
AUX-0069,[N-]=[N+]=NC1CC2CCC1(NC(=O)Cn1ncc(=O)c3ccccc31)C2,4.047166072525287,0.232,crude
AUX-0070,CC[C@H](NC(=O)Cn1ncc(=O)c2ccccc21)c1cc(OC)c(OC)cc1Br,5.239489384679874,0.196,crude
AUX-0071,COc1cc(OC)c2cc(CCCNC(=O)Cn3ncc(=O)c4ccccc43)[nH]c2c1,4.579963981413273,0.24,crude
AUX-0072,O=C(Cn1ncc(=O)c2ccccc21)N1CCC[C@@H]2O[C@H](c3ccccc3)C[C@@H]21,3.7511574743787848,0.252,crude
AUX-0073,Cc1cccc(CN(Cc2cccc(C)n2)C(=O)Cn2ncc(=O)c3ccccc32)n1,4.740628497451541,0.146,crude
AUX-0074,O=C(Cn1ncc(=O)c2ccccc21)N1CCc2nc[nH]c2C1c1ccccn1,2.1971480943373805,0.598,crude
AUX-0075,Cn1cc(C2CC(C(=O)OC(C)(C)C)CN(C(=O)Cn3ncc(=O)c4ccccc43)C2)cn1,4.494598520567407,0.247,crude
AUX-0076,O=C(Cn1ncc(=O)c2ccccc21)N1CCC(Oc2ccc(Cl)cc2)CC1,4.256315843595453,0.0805,crude
AUX-0077,CC(NC(=O)Cn1ncc(=O)c2ccccc21)C(=O)N1c2ccccc2CC1C,5.108762861316229,0.102,crude
AUX-0078,C#CCC(Cc1ccccc1)N(C)C(=O)Cn1ncc(=O)c2ccccc21,4.177494981165751,0.303,crude
AUX-0079,CCn1nccc1CN(Cc1ccccc1)C(=O)Cn1ncc(=O)c2ccccc21,4.289847408721665,0.27,crude
AUX-0080,CC[C@@H](CO)N(C(=O)Cn1ncc(=O)c2ccccc21)C1CCc2ccccc2C1,5.480205475966306,0.158,crude
AUX-0081,O=C(Cn1ncc(=O)c2ccccc21)NC1(CNS(=O)(=O)c2cccs2)CCCCC1,4.378630144212285,0.297,crude
AUX-0082,CC1=CC2CCCC(C1)N2C(=O)Cn1ncc(=O)c2ccccc21,4.987923692462823,0.0923,crude
AUX-0083,CC1(C)Oc2ccsc2[C@H](NC(=O)Cn2ncc(=O)c3ccccc32)[C@H]1O,5.996117133017333,0.136,crude
AUX-0084,O=C(Cn1ncc(=O)c2ccccc21)N(CCn1ccc2cc(Cl)ccc21)C1CCOCC1,6.131959684374353,0.101,crude
AUX-0085,CCn1c2ccccc2c2cc(CN(CCCO)C(=O)Cn3ncc(=O)c4ccccc43)ccc21,5.127336156452908,0.274,crude
AUX-0086,CC(C)CC(NC(=O)Cn1ncc(=O)c2ccccc21)C(=O)N(C)C1CCSC1,4.4332822528446005,0.224,crude
AUX-0087,Cc1ccc(C)c(C(O)CN(C(=O)Cn2ncc(=O)c3ccccc32)C(C)C)c1,4.286730284016612,0.289,crude
AUX-0088,CC(C)CC(NC(=O)Cn1ncc(=O)c2ccccc21)c1cccc(C#N)c1,5.106517095192727,0.105,crude
AUX-0089,Cc1cc(CNC(=O)Cn2ncc(=O)c3ccccc32)c2[nH]c(C)c(C)c2c1,3.7061411781291778,0.471,crude
AUX-0090,O=C(Cn1ncc(=O)c2ccccc21)NC1(C23CC4CC(CC(C4)C2)C3)CC1,5.244774557782256,0.288,crude
AUX-0091,CC(C)C(NC(=O)Cn1ncc(=O)c2ccccc21)c1ccc2[nH]c(=O)oc2c1,3.65167497148265,0.288,crude
AUX-0092,Cc1ccccc1C(CO)N(C)C(=O)Cn1ncc(=O)c2ccccc21,4.143438571894236,0.255,crude
AUX-0093,CCC1CN(C)c2ccccc2CN1C(=O)Cn1ncc(=O)c2ccccc21,6.000827827687661,0.0491,crude
AUX-0094,CC(C)(C)OC(=O)N1CCCC(N(Cc2ccccc2)C(=O)Cn2ncc(=O)c3ccccc32)C1,5.582446538601749,0.185,crude
AUX-0095,CCC(NC(=O)Cn1ncc(=O)c2ccccc21)c1cccc2cc[nH]c12,4.836266881919965,0.118,crude
AUX-0096,O=C(Cn1ncc(=O)c2ccccc21)NC(CC1CC1)c1ccc(Cl)cn1,4.060950861940146,0.292,crude
AUX-0097,O=C(Cn1ncc(=O)c2ccccc21)N(Cc1ccccc1C(F)(F)F)C1COC1,5.997764445566825,0.138,crude
AUX-0098,COCc1ccc2c(c1)CCN(C(=O)Cn1ncc(=O)c3ccccc31)C2,1.8245261606900511,0.538,crude
AUX-0099,O=C(Cn1ncc(=O)c2ccccc21)NC1(c2nc3cc(Cl)ccc3o2)CCC1,5.5703320742548454,0.103,crude
AUX-0100,O=C(Cn1ncc(=O)c2ccccc21)NCc1oc2ccc(F)cc2c1-c1ccccc1,5.440586704163729,0.0685,crude
AUX-0101,CC1CN(C(CNC(=O)Cn2ncc(=O)c3ccccc32)c2cccs2)CCO1,4.863483008383227,0.303,crude
AUX-0102,CC(NC(=O)Cn1ncc(=O)c2ccccc21)C1OCCc2sccc21,2.1034409047837577,0.534,crude
AUX-0103,COc1cccc2c1OCC(NC(=O)Cn1ncc(=O)c3ccccc31)C2,5.197813527871326,0.0856,crude
AUX-0104,COc1ccccc1C1CSCCCN1C(=O)Cn1ncc(=O)c2ccccc21,4.968792510220836,0.232,crude
AUX-0105,Cc1sc2ccccc2c1CCNC(=O)Cn1ncc(=O)c2ccccc21,5.3373752693374055,0.173,crude
AUX-0106,O=C(Cn1ncc(=O)c2ccccc21)NCc1cnc(-n2cccn2)s1,1.9043289262805876,0.558,crude
AUX-0107,CCOc1ccc2c(c1)C(NC(=O)Cn1ncc(=O)c3ccccc31)CCO2,4.07525976846002,0.251,crude
AUX-0108,O=C(Cn1ncc(=O)c2ccccc21)NCCc1cccc2cnccc12,3.764097021142851,0.176,crude
AUX-0109,CC(C)(C)C1c2ccc(O)cc2CCN1C(=O)Cn1ncc(=O)c2ccccc21,5.28214234143272,0.109,crude
AUX-0110,O=C(Cn1ncc(=O)c2ccccc21)NCC1(c2cc(F)cc(Br)c2)CC1,5.015965791533131,0.229,crude
AUX-0111,O=C(Cn1ncc(=O)c2ccccc21)NCCC1CSc2ccccc2O1,4.454436802067046,0.0883,crude
AUX-0112,CC1(c2cccs2)CC1CNC(=O)Cn1ncc(=O)c2ccccc21,2.2572808468301733,0.542,crude
AUX-0113,O=C(Cn1ncc(=O)c2ccccc21)N1CCCC2(C1)OC[C@H]1C[C@H]12,4.479697656670489,0.246,crude
AUX-0114,CC(C)(C)OC(=O)CN(CCC(F)(F)F)C(=O)Cn1ncc(=O)c2ccccc21,4.930836962056737,0.112,crude
AUX-0115,CC1CSc2ccccc2CN1C(=O)Cn1ncc(=O)c2ccccc21,5.841035427093815,0.111,crude
AUX-0116,O=C(Cn1ncc(=O)c2ccccc21)N1CCP(=O)(c2ccccc2)CC1,4.248305062548152,0.33,crude
AUX-0117,Cn1cc(C2CCN(C(=O)Cn3ncc(=O)c4ccccc43)C2)c2ccccc21,4.7120389584727285,0.307,crude
AUX-0118,O=C(Cn1ncc(=O)c2ccccc21)N1CC(NS(=O)(=O)c2ccccc2)C1,4.099641049300275,0.301,crude
AUX-0119,O=C(Cn1ncc(=O)c2ccccc21)NCCc1cccc2c1OC(F)(F)O2,5.685319478499087,0.238,crude
AUX-0120,O=C(Cn1ncc(=O)c2ccccc21)NC(c1ccccc1)C1CC1c1ccncc1,3.4936460426502505,0.247,crude
AUX-0121,O=C(Cn1ncc(=O)c2ccccc21)NC1(c2c(F)cccc2F)COC1,4.828216679103038,0.238,crude
AUX-0122,Cc1ccc(C(NC(=O)Cn2ncc(=O)c3ccccc32)c2cccc(S(C)(=O)=O)c2)c(C)c1,4.693235793378508,0.282,crude
AUX-0123,Cc1cccc(C2(CNC(=O)Cn3ncc(=O)c4ccccc43)CC2)c1C,4.761592345332061,0.281,crude
AUX-0124,O=C(Cn1ncc(=O)c2ccccc21)N1CCCC1CC1(C(F)(F)F)N=N1,4.943889853521018,0.247,crude
AUX-0125,COC(=O)c1cc(Br)c2c(c1)CN(C(=O)Cn1ncc(=O)c3ccccc31)CCO2,4.04729817629961,0.303,crude
AUX-0126,O=C(Cn1ncc(=O)c2ccccc21)NCC(F)(F)c1ccc(F)cc1F,1.9132044820964085,0.539,crude
AUX-0127,Cc1ccc(CNC(=O)Cn2ncc(=O)c3ccccc32)c(OCC2CCOC2)c1,4.744840863465526,0.214,crude
AUX-0128,O=C(Cn1ncc(=O)c2ccccc21)NC(CN1CCCC1=O)c1cccc(C(F)(F)F)c1,4.56748735567323,0.209,crude
AUX-0129,O=C(Cn1ncc(=O)c2ccccc21)NC1Cc2[nH]ncc2C(C(F)(F)F)C1,5.045998416979149,0.221,crude
AUX-0130,O=C(Cn1ncc(=O)c2ccccc21)NCCCC1CCCC1O,2.291335062670162,0.532,crude
AUX-0131,Cc1cc(Br)cn2c3c(nc12)CCN(C(=O)Cn1ncc(=O)c2ccccc21)C3,4.763998977037335,0.287,crude
AUX-0132,CC(NC(=O)Cn1ncc(=O)c2ccccc21)c1ncc(-c2ccc(F)cc2)o1,1.93730166688907,0.533,crude
AUX-0133,O=C(Cn1ncc(=O)c2ccccc21)NCC(c1ccccc1)S(=O)(=O)c1ccccc1,5.414951732728581,0.0851,crude
AUX-0134,CC(C)[C@@]12CC[C@H](NC(=O)Cn3ncc(=O)c4ccccc43)[C@@H]1C2,1.830491402883522,0.545,crude
AUX-0135,CC(NC(=O)Cn1ncc(=O)c2ccccc21)c1nc2ccccc2n1C(F)F,4.376230754663902,0.182,crude
AUX-0136,O=C(Cn1ncc(=O)c2ccccc21)NCC(NC(=O)C1CC1)C(F)(F)F,3.601982045357549,0.256,crude
AUX-0137,Cc1ccc(C)c(C2CN(C(=O)Cn3ncc(=O)c4ccccc43)C(C)CO2)c1,4.615214119919632,0.245,crude
AUX-0138,CN(C(=O)Cn1ncc(=O)c2ccccc21)C1c2ccccc2-c2ccccc21,5.215861965939204,0.172,crude
AUX-0139,O=C(Cn1ncc(=O)c2ccccc21)N1CC(F)(F)CC2(CCC2)C1,5.1365333170546466,0.19,crude
AUX-0140,O=C(Cn1ncc(=O)c2ccccc21)NC1(Cc2cccc(Br)c2)CCOC1,4.830220388732328,0.151,crude
AUX-0141,CN(CCCN(C)C(=O)Cn1ncc(=O)c2ccccc21)Cc1ccncc1,1.9389214599493776,0.525,crude
AUX-0142,O=C(Cn1ncc(=O)c2ccccc21)NCc1c(Cl)cccc1-n1ccnc1,4.386694808538773,0.196,crude
AUX-0143,CC(C)Oc1ccc2[nH]cc(CNC(=O)Cn3ncc(=O)c4ccccc43)c2c1,6.634731285219742,0.137,crude
AUX-0144,COc1cccc(C(NC(=O)Cn2ncc(=O)c3ccccc32)C2CC2)n1,4.633741579423809,0.222,crude
AUX-0145,CC1(C)CN(C2(CNC(=O)Cn3ncc(=O)c4ccccc43)CCCCC2)CCO1,4.692981551209254,0.295,crude
AUX-0146,Cc1nn(C)c(C)c1C(NC(=O)Cn1ncc(=O)c2ccccc21)C(F)(F)F,4.287575442122732,0.29,crude
AUX-0147,CC(C)Cn1ccc(CNC(=O)Cn2ncc(=O)c3ccccc32)n1,1.8170786122001823,0.544,crude
AUX-0148,O=C(Cn1ncc(=O)c2ccccc21)NC1CCN(c2ccc(C(F)(F)F)cn2)CC1,3.0053066601778538,0.68,crude
AUX-0149,O=C(Cn1ncc(=O)c2ccccc21)NCCOC1CCSCC1,1.955822819549193,0.51,crude
AUX-0150,C[C@@]1(NC(=O)Cn2ncc(=O)c3ccccc32)CN(Cc2ccccc2)C[C@H]1c1ccccc1,5.259944452258033,0.097,crude
AUX-0151,COc1c(F)cccc1CC1CCCN1C(=O)Cn1ncc(=O)c2ccccc21,5.462864182543373,0.174,crude
AUX-0152,Cc1cc2ccc(CNC(=O)Cn3ncc(=O)c4ccccc43)cc2[nH]1,2.168619914934136,0.533,crude
AUX-0153,O=C(Cn1ncc(=O)c2ccccc21)NC1CCCc2c1cnn2C1CCCC1,1.92623159156563,0.551,crude
AUX-0154,CC(C)(C)[C@@H]1C[C@H](CO)CN(C(=O)Cn2ncc(=O)c3ccccc32)C1,3.792219759105076,0.28,crude
AUX-0155,CC1(C)C2CCC13CCN(C(=O)Cn1ncc(=O)c4ccccc41)C3C2,5.041641074245798,0.147,crude
AUX-0156,CCC1Oc2cc(C(C)NC(=O)Cn3ncc(=O)c4ccccc43)ccc2NC1=O,4.166158967851642,0.214,crude
AUX-0157,O=C(Cn1ncc(=O)c2ccccc21)NC(c1cnn(-c2ccccc2)c1)C1CCOCC1,4.917974315281608,0.109,crude
AUX-0158,O=C(Cn1ncc(=O)c2ccccc21)N1CCCC1c1cccc(I)c1,6.013114960441096,0.106,crude
AUX-0159,O=C(Cn1ncc(=O)c2ccccc21)NCc1c(-c2ccc(F)cc2)nc2ccc(F)cn12,4.999897987135845,0.12,crude
AUX-0160,CC(C)C(C)N(C(=O)Cn1ncc(=O)c2ccccc21)C1CC1,6.860701099073328,0.0697,crude
AUX-0161,CC12CCCC(CNC(=O)Cn3ncc(=O)c4ccccc43)(CO1)C2,2.0013402494477277,0.556,crude
AUX-0162,Cc1cc(C(F)F)nc(C2(NC(=O)Cn3ncc(=O)c4ccccc43)CCCC2)n1,4.904146869346368,0.141,crude
AUX-0163,Cc1ncc2c(n1)C1CCCCC1N(C(=O)Cn1ncc(=O)c3ccccc31)C2,3.745403884128332,0.293,crude
AUX-0164,CC(C)(C)OC1CC(NC(=O)Cn2ncc(=O)c3ccccc32)C1n1cccn1,4.042735127962722,0.293,crude
AUX-0165,Cc1ccc2oc(CN(Cc3ccco3)C(=O)Cn3ncc(=O)c4ccccc43)cc2c1,1.899013472991753,0.554,crude
AUX-0166,O=C(Cn1ncc(=O)c2ccccc21)NCc1nccc(C(F)(F)F)n1,5.842655188358169,0.182,crude
AUX-0167,CC(Cn1nc(C(F)(F)F)cc1C1CC1)NC(=O)Cn1ncc(=O)c2ccccc21,5.198014490123056,0.128,crude
AUX-0168,CC(C)(NC(=O)Cn1ncc(=O)c2ccccc21)c1ccc(-c2ccno2)cc1,5.3443198973026576,0.263,crude
AUX-0169,Cc1c(C(NC(=O)Cn2ncc(=O)c3ccccc32)C(C)C)oc2ccccc12,5.885472263911017,0.0747,crude
AUX-0170,O=C(Cn1ncc(=O)c2ccccc21)N1CCC([C@@H]2OCC[C@H]2NC(=O)C(F)(F)F)CC1,3.868613591640599,0.278,crude
AUX-0171,CC(C)(C)OC(=O)[C@]12COc3ccccc3[C@H]1CN(C(=O)Cn1ncc(=O)c3ccccc31)C2,5.451983599483145,0.0551,crude
AUX-0172,O=C(Cn1ncc(=O)c2ccccc21)NC1CCCCC1NC(=O)C1CC2CCC1C2,3.9117934539975048,0.261,crude
AUX-0173,CN1C(=O)C[C@H](NC(=O)Cn2ncc(=O)c3ccccc32)[C@H]1c1ccc(Cl)c(Cl)c1,4.5968718940867275,0.191,crude
AUX-0174,O=C(Cn1ncc(=O)c2ccccc21)NCc1ccc(C#CC2CC2)cc1,1.844181753402599,0.513,crude
AUX-0175,O=C(Cn1ncc(=O)c2ccccc21)NC(c1ccc(F)cc1)c1cccs1,5.025396562515821,0.201,crude
AUX-0176,O=C(Cn1ncc(=O)c2ccccc21)NC1CCS(=O)(=O)c2ccc(Cl)cc21,4.056181839934088,0.225,crude
AUX-0177,O=C(Cn1ncc(=O)c2ccccc21)NC1CCCc2c1[nH]c1ccc(Cl)cc21,2.49872332790629,0.393,crude
AUX-0178,CC(C)(NC(=O)Cn1ncc(=O)c2ccccc21)c1ccc2c(c1)OCO2,4.729779283147001,0.238,crude
AUX-0179,O=C(Cn1ncc(=O)c2ccccc21)NC(c1cncc(Br)c1)C1CC1,4.598385081024763,0.115,crude
AUX-0180,O=C(Cn1ncc(=O)c2ccccc21)NCCc1ccc2[nH]ncc2c1,2.569148464561417,0.597,crude
AUX-0181,COc1cc(C)cc2c(C)c(C(C)NC(=O)Cn3ncc(=O)c4ccccc43)oc12,4.737829379748124,0.126,crude
AUX-0182,O=C(Cn1ncc(=O)c2ccccc21)NCC1(c2ccc([N+](=O)[O-])cc2)CCCCC1,5.622359934472953,0.0461,crude
AUX-0183,O=C(Cn1ncc(=O)c2ccccc21)N1CCCCCC1CC(O)c1cccs1,4.86857169660782,0.259,crude
AUX-0184,N#Cc1cccc2c1CN(C(=O)Cn1ncc(=O)c3ccccc31)C2,2.8774715146765395,0.447,crude
AUX-0185,O=C(Cn1ncc(=O)c2ccccc21)NC1(c2cccc(OC(F)(F)F)c2)CCOCC1,4.657769141007116,0.199,crude
AUX-0186,Cc1cc2c(o1)CC(C)(C)CC2NC(=O)Cn1ncc(=O)c2ccccc21,5.310308620181574,0.159,crude
AUX-0187,CCN(CC)C(=O)C1(CC)CCCN(C(=O)Cn2ncc(=O)c3ccccc32)C1,5.423118517736278,0.106,crude
AUX-0188,Cc1ccc(CN(CC2CC2)C(=O)Cn2ncc(=O)c3ccccc32)cn1,3.634283783749397,0.248,crude
AUX-0189,O=C(Cn1ncc(=O)c2ccccc21)N(Cc1cc(C2CC2)on1)C1CC1,4.163203349108084,0.261,crude
AUX-0190,O=C(Cn1ncc(=O)c2ccccc21)NCC1=CCCOC1,1.9782423911365432,0.535,crude
AUX-0191,COC(=O)c1cc(Br)c2c(c1)CN(C(=O)C(C)(OC)c1ccccc1)CCO2,5.71009292449696,0.0811,crude
AUX-0192,COC(C)(C(=O)NCCOc1nc2ccccc2s1)c1ccccc1,5.6051552625147725,0.0484,crude
AUX-0193,COC(C)(C(=O)NC1(c2cc(Br)ccc2C)CC1)c1ccccc1,5.707135768765924,0.0548,crude
AUX-0194,COC(C)(C(=O)NC1CCc2sccc2NC1=O)c1ccccc1,5.124489112879189,0.0977,crude
AUX-0195,COC(C)(C(=O)NC1CCCc2c1cnn2C1CCCC1)c1ccccc1,6.096961329140067,0.0927,crude
AUX-0196,COC(C)(C(=O)NCCCOC1CCCc2ccccc21)c1ccccc1,6.014376444218268,0.0417,crude
AUX-0197,COC(C)(C(=O)NCc1cc(Cl)c2cccnc2c1O)c1ccccc1,4.138255525053279,0.278,crude
